CO,AB,FACID,DIS,FNAME,FSTREET,FCITY,FZIP,FSIC,COID,TS,HRA,CHINDEX,AHINDEX,DISN,CHAPIS,CERR_CODE,EMS
39,SJV,717,SJU,"A. SAMBADO & SON, INC.",16461 E COMSTOCK RD,LINDEN,95236,723,SJ,,,,,SAN JOAQUIN VALLEY APCD,,,9788.000255
34,SV,192,SAC,A. TEICHERT & SON,8760 KIEFER BLVD,SACRAMENTO,95826,2951,SAC,82.9,1.53,0.04,0.34,SACRAMENTO METROPOLITAN AQMD,N,,0.216459485
19,SC,106897,SC,AG-FUME SERVICES INC,2200 MINER ST,SAN PEDRO,90731,7342,LA,,,,,SOUTH COAST AQMD,,,16812.33
19,SC,148236,SC,"AIR LIQUIDE LARGE INDUSTRIES U.S., LP",324 W EL SEGUNDO BLVD,EL SEGUNDO,90245,8099,LA,,4.55,0.02,0.01,SOUTH COAST AQMD,,,2.98792097
30,SC,5998,SC,ALL AMERICAN ASPHALT,14490 EDWARDS ST,WESTMINSTER,92683,1611,ORA,,,,,SOUTH COAST AQMD,,,0.12604897
19,SC,114264,SC,ALL AMERICAN ASPHALT,13646 LIVE OAK LN,IRWINDALE,91706,1611,LA,,,,,SOUTH COAST AQMD,,,0.60052932
19,SC,132954,SC,ALL AMERICAN ASPHALT,11549 BRADLEY AVE,SAN FERNANDO,91340,1771,LA,,1.6,0.3,0.4,SOUTH COAST AQMD,,,0.46198103
33,SC,148146,SC,ALL AMERICAN ASPHALT,4770 INDIAN ST,PERRIS,92571,1611,RIV,,,,,SOUTH COAST AQMD,,,0.70797077
33,SC,3704,SC,"ALL AMERICAN ASPHALT, UNIT NO.01",1776 ALL AMERICAN WAY,CORONA,92879,1611,RIV,,,,,SOUTH COAST AQMD,,,1.26994725
30,SC,82207,SC,"ALL AMERICAN ASPHALT,ALL AMER AGGREGATES",10671 JEFFREY RD,IRVINE,92602,1771,ORA,,4.4,0.07,2.41,SOUTH COAST AQMD,,,0.70828678
39,SJV,19,SJU,ALPINE MEATS INC,9900 LOWER SACRAMENTO RD,STOCKTON,95210,2011,SJ,,,,,SAN JOAQUIN VALLEY APCD,,,0.00252
50,SJV,8521,SJU,ALPINE PACIFIC NUT COMPANY INC,6413 E KEYES RD,HUGHSON,95326,723,STA,,,,,SAN JOAQUIN VALLEY APCD,,,195.9999986
39,SJV,8247,SJU,AMERESCO SAN JOAQUIN LLC,6484 N WAVERLY RD,LINDEN,95236,4911,SJ,,,,,SAN JOAQUIN VALLEY APCD,,,0.006238609
27,NCC,570,MBU,"AMERESCO SANTA CRUZ ENERGY, LLC - JOHNSON CANYON LANDFILL",31400 JOHNSON CANYON ROAD,GONZALES,93926,4931,MON,1.9,,,,MONTEREY BAY AIR RESOURCES DISTRICT,,,0.005348698
10,SJV,3115,SJU,AMERICAN AVENUE LANDFILL,18950 W AMERICAN AVE,KERMAN,93630,4953,FRE,,,,,SAN JOAQUIN VALLEY APCD,,,.0984935906426666567
34,SV,2433,SAC,AMPAC FINE CHEMICAL,AEROJET ROAD & HWY 50,RANCHO CORDOVA,95741,2869,SAC,,,,,SACRAMENTO METROPOLITAN AQMD,N,,7.4
20,SJV,6923,SJU,AMPERSAND CHOWCHILLA BIOMASS LLC,16457 AVENUE 24-1/2,CHOWCHILLA,93610,4911,MAD,,,,,SAN JOAQUIN VALLEY APCD,,,0.399505532
56,SCC,845,VEN,ANACAPA BERRY FARMS,4300 ETTING ROAD,OXNARD,93033,5148,VEN,0.03,,,,VENTURA COUNTY APCD,,,29.6
24,SJV,1166,SJU,ANDERSEN NUT COMPANY,3050 S HUNT RD,GUSTINE,95322,723,MER,,,,,SAN JOAQUIN VALLEY APCD,,,41.99999943
51,SV,24014,FR,ARDENT MILLS LLC,1200 PUTMAN AVENUE,,95991,723,SUT,0,,,,FEATHER RIVER AQMD,,,0
15,SJV,3433,SJU,ARVIN SANITARY LANDFILL,5500 N WHEELER RIDGE RD,ARVIN,93203,4953,KER,,,,,SAN JOAQUIN VALLEY APCD,,,0.00640914
39,SJV,7250,SJU,AVANTI NUT COMPANY,9982 PEZZI RD,STOCKTON,95212,723,SJ,,,,,SAN JOAQUIN VALLEY APCD,,,0
36,MD,500,MOJ,BARSTOW WASTEWATER TREATMENT PLANT,2200 E RIVERSIDE DRIVE,BARSTOW,92311,4952,SBD,3.4,,,,MOJAVE DESERT AQMD,,,67.31019133
4,SV,111,BUT,BERBERIAN NUT COMPANY,6100 WILSON LANDING ROAD,CHICO,95973,2034,BUT,,,,,BUTTE COUNTY AQMD,,,1942
19,SC,20421,SC,BLUE DIAMOND INGLEWOOD ASPHALT CORP,441 W RAILROAD PL,INGLEWOOD,90302,1611,LA,,,,,SOUTH COAST AQMD,,,0.05470243
33,MD,1569,MOJ,"BLYTHE, CITY OF - WASTE WATER TREATMENT",15901 SOUTH BROADWAY,BLYTHE,92225,4952,RIV,5.39,,,,MOJAVE DESERT AQMD,,,30.12332371
10,SJV,3865,SJU,"BOGHOSIAN RAISIN PACKING COMPANY, INC.",726 S 8TH ST,FOWLER,93625,723,FRE,,,,,SAN JOAQUIN VALLEY APCD,,,0
15,SJV,3984,SJU,BOWMAN ASPHALT INC,4717 MERIDIAN AVE,BAKERSFIELD,93308,2951,KER,,,,,SAN JOAQUIN VALLEY APCD,,,0.043285425
37,SD,10705,SD,CA COMMERCIAL ASPHALT ENTERPRISES,9229 HARRIS PLANT RD,SAN DIEGO,92145,2951,SD,,,,,SAN DIEGO COUNTY APCD,,,0.092329114
10,SJV,216,SJU,CALIFORNIA AIR NATIONAL GUARD,5323 E MCKINLEY,FRESNO,93727,9711,FRE,,,,,SAN JOAQUIN VALLEY APCD,,,1.9075257156199952
36,MD,169,MOJ,CALMAT - 20181 NAT'L TRAILS,20181 NATIONAL TRAILS HIGHWAY,ORO GRANDE,92368,2951,SBD,0.32,,,,MOJAVE DESERT AQMD,,,0.043212496
30,SC,107653,SC,CALMAT CO,1401 E WARNER AVE,SANTA ANA,92705,9999,ORA,,,,,SOUTH COAST AQMD,,,0.08025
19,SC,107654,SC,CALMAT CO,16005 FOOTHILL BLVD,IRWINDALE,91706,3273,LA,,,,,SOUTH COAST AQMD,,,0.47815796
19,SC,107655,SC,CALMAT CO,2715 E WASHINGTON BLVD,LOS ANGELES,90023,2951,LA,,,,,SOUTH COAST AQMD,,,0.05898897
19,SC,107656,SC,CALMAT CO,11447  TUXFORD ST,SUN VALLEY,91352,2951,LA,,,,,SOUTH COAST AQMD,,,0.20323086
36,SC,108457,SC,CALMAT CO,2340 W HIGHLAND AVE,SAN BERNARDINO,92405,2951,SBD,,,,,SOUTH COAST AQMD,,,0.09345224
33,SC,108527,SC,CALMAT CO,1709 SHERBORN ST,CORONA,92879,3272,RIV,,,,,SOUTH COAST AQMD,,,0.36831241
56,SCC,25,VEN,CALMAT CO. DBA VULCAN MATERIALS COMPANY,6029 VINEYARD AVE.,OXNARD,93030,2951,VEN,,1.35,0.02,0.78,VENTURA COUNTY APCD,,,0.008975235
15,SJV,1538,SJU,CALMAT OF CENTRAL CALIFORNIA,16101 HIGHWAY 166,BAKERSFIELD,93311,1442,KER,,,,,SAN JOAQUIN VALLEY APCD,,,0
37,SD,27,SD,CANYON ROCK,7500 MISSION GORGE RD,SAN DIEGO,92120,3241,SD,,,,,SAN DIEGO COUNTY APCD,,,0.096540408
11,SV,1175,GLE,CARRIERE FAMILY FARMS (PROCESSING PLANT),1640 HWY 45,GLENN,95943,723,GLE,,,,,GLENN COUNTY APCD,,,7.984
16,SJV,283,SJU,"CHEMICAL WASTE MANAGEMENT, INC",35251 OLD SKYLINE RD,KETTLEMAN CITY,93239,4953,KIN,,,,,SAN JOAQUIN VALLEY APCD,,,0.000101749
7,SF,10,BA,CHEVRON PRODUCTS COMPANY,841 CHEVRON WAY,RICHMOND,94801,2911,CC,13611.69,8,0.02,,BAY AREA AQMD,,,49.27206575
15,SJV,3720,SJU,CHINA GRADE SANITARY LANDFILL,"SEC 1 AND 12, T29S, R28E",BAKERSFIELD,93306,4953,KER,,,,,SAN JOAQUIN VALLEY APCD,,,0.006559728
39,SJV,3266,SJU,CHINCHIOLO STEMILT CALIFORNIA LLC,4799 N  JACK TONE RD,STOCKTON,95215,2099,SJ,,,,,SAN JOAQUIN VALLEY APCD,,,4387.000084
10,SJV,317,SJU,CHOOLJIAN BROS PACKING CO,3192 S INDIANOLA AVE,SANGER,93657,723,FRE,,,,,SAN JOAQUIN VALLEY APCD,,,0
33,MD,1422,MOJ,CHUCKAWALLA VALLEY STATE PRISON,19005 WILEY'S WELL ROAD,BLYTHE,92226,9223,RIV,4.52,,,,MOJAVE DESERT AQMD,,,16.25
42,SCC,8676,SB,COUNTY OF SANTA BARBARA - TAJIGUAS LANDFILL,14470 CALLE REAL (05202),GOLETA,93117,4953,SB,,,,,SANTA BARBARA COUNTY APCD,,,3.053341
15,SJV,6971,SJU,"CRIMSON RENEWABLE ENERGY, LP",17731 MILLUX RD,BAKERSFIELD,93311,2992,KER,,,,,SAN JOAQUIN VALLEY APCD,,,0.05085861
20,SJV,4265,SJU,D.V. ENTERPRISES,20282 ROAD 21,MADERA,93638,723,MAD,,,,,SAN JOAQUIN VALLEY APCD,,,485.0000143
39,SJV,2395,SJU,"DELTA PACKING CO. OF LODI,INC.",6021 E KETTLEMAN LANE,LODI,95240,723,SJ,,,,,SAN JOAQUIN VALLEY APCD,,,3599.999905
39,SJV,285,SJU,"DIAMOND FOODS, LLC",1050 S DIAMOND ST,STOCKTON,95201,723,SJ,,,,,SAN JOAQUIN VALLEY APCD,,,419.9999869
30,SC,153864,SC,DIVERSIFIED ASPHALT PRODUCTS,1227 N OLIVE ST,ANAHEIM,92801,5032,ORA,,,,,SOUTH COAST AQMD,,,0.00000256
56,SCC,507,VEN,DRISCOLL STRAWBERRY ASSOCIATES,3939 E. HUENEME ROAD,OXNARD,93030,5148,VEN,0.29,,,,VENTURA COUNTY APCD,,,255
15,SJV,1624,SJU,E&B NATURAL RESOURCES MGMT,HEAVY OIL CENTRAL,KERN COUNTY,93308,1311,KER,,,,,SAN JOAQUIN VALLEY APCD,,,0.001806545
1,SF,591,BA,EAST BAY MUNICIPAL UTILITY DISTRICT,2020 WAKE AVENUE,OAKLAND,94607,4952,ALA,424.39,8,0.06,,BAY AREA AQMD,,,9.403841
19,SC,8547,SC,"ECOBAT RESOURCES CALIFORNIA, INC.",720 S 7TH AVE,CITY OF INDUSTRY,91746,1541,LA,,7.1,0.69,0.09,SOUTH COAST AQMD,,,59.061859
15,MD,47,KER,EDWARDS AFB,120 N. ROSAMOND BLVD,EDWARDS AFB,93524,9711,KER,9.9,,,,EASTERN KERN APCD,,,265.3863
20,SJV,8250,SJU,EL DORADO ALMONDS LLC,21888 AVENUE 14,MADERA,93637,723,MAD,,,,,SAN JOAQUIN VALLEY APCD,,,3000
54,SJV,968,SJU,"FAMOUS VINEYARDS, LLC",20715 AVENUE 8,RICHGROVE,93261,4222,TUL,,,,,SAN JOAQUIN VALLEY APCD,,,0
39,SJV,239,SJU,FELIX COSTA,13160 N WEST LN,LODI,95240,723,SJ,,,,,SAN JOAQUIN VALLEY APCD,,,13.09813556
10,SJV,973,SJU,FIG GARDEN PACKING INC.,5545 W DAKOTA AVE,FRESNO,93722,723,FRE,,,,,SAN JOAQUIN VALLEY APCD,,,0
50,SJV,3969,SJU,FINK ROAD LANDFILL,4000 FINK RD,CROWS LANDING,95313,4953,STA,,,,,SAN JOAQUIN VALLEY APCD,,,0.046270142
39,SJV,4752,SJU,FOPPIANO RANCH,500 N JACK TONE RD,STOCKTON,95215,2879,SJ,,,,,SAN JOAQUIN VALLEY APCD,,,5801.100135
36,MD,2806,MOJ,FORT IRWIN WASTEWATER TREATMENT PLANT,"WASTEWATER TREATMENT PLANT, BLDG 700",FORT IRWIN,92310,9511,SBD,8.53,,,,MOJAVE DESERT AQMD,,,22.805
39,SJV,339,SJU,FORWARD INC LANDFILL,9999 S AUSTIN RD,MANTECA,95336,4953,SJ,,,,,SAN JOAQUIN VALLEY APCD,,,0.14848163
50,SJV,3838,SJU,"FRAZIER NUT FARMS, INC",10830 YOSEMITE BLVD,WATERFORD,95386,723,STA,,,,,SAN JOAQUIN VALLEY APCD,,,0
50,SJV,3104,SJU,GEER ROAD LANDFILL,750 GEER RD,MODESTO,95351,4953,STA,,,,,SAN JOAQUIN VALLEY APCD,,,0.019131878
34,SV,2496,SAC,"GEORGE REED, INC.",900 W. ELKHORN BLVD,RIO LINDA,95673,2951,SAC,,,,,SACRAMENTO METROPOLITAN AQMD,N,,0.109435304
10,SJV,2870,SJU,GERAWAN FARMING LLC,1467 E DINUBA AVE,REEDLEY,93654,723,FRE,,,,,SAN JOAQUIN VALLEY APCD,,,0
54,SJV,2959,SJU,GIUMARRA BROS FRUIT COMPANY,3646 AVENUE 416,REEDLEY,93654,723,TUL,,,,,SAN JOAQUIN VALLEY APCD,,,0
39,SJV,366,SJU,GRANITE CONSTRUCTION,10500 HARLAN RD,FRENCH CAMP,95231,2951,SJ,,,,,SAN JOAQUIN VALLEY APCD,,,0.020107756
19,MD,3728,AV,GRANITE CONSTRUCTION - BIG ROCK FACILITY,34809 155TH STREET EAST,LLANO,93544,1442,LA,0.17,,,,ANTELOPE VALLEY AQMD,,,0.044629296
34,SV,200,SAC,GRANITE CONSTRUCTION CO,4291 BRADSHAW ROAD,SACRAMENTO,95827,2951,SAC,,,,,SACRAMENTO METROPOLITAN AQMD,N,,0.348776693
15,SJV,1610,SJU,GRANITE CONSTRUCTION CO,3001 JAMES RD,BAKERSFIELD,93308,1442,KER,,,,,SAN JOAQUIN VALLEY APCD,,,0.218893493
39,SJV,7888,SJU,GRANITE CONSTRUCTION COMPANY,37400 S BIRD RD,TRACY,95304,2951,SJ,,,,,SAN JOAQUIN VALLEY APCD,,,0.088181464
33,SS,178534,SC,GRANITE CONSTRUCTION COMPANY,35100 DILLON RD,INDIO,92203,1611,RIV,,,,,SOUTH COAST AQMD,,,0.30973199
10,SJV,590,SJU,"GRANITE CONSTRUCTION, COALINGA",38940 HIGHWAY 33,COALINGA,93210,2951,FRE,,,,,SAN JOAQUIN VALLEY APCD,,,.1633493066924397
15,SJV,3078,SJU,GRIFFITH CO,EDMONSTON PUMP STATION RD,TEJON RANCH,93560,2951,KER,,,,,SAN JOAQUIN VALLEY APCD,,,0.159622202
50,SJV,6082,SJU,GROWER DIRECT NUT COMPANY,2288 GEER RD,HUGHSON,95326,723,STA,,,,,SAN JOAQUIN VALLEY APCD,,,370.9999919
19,SC,100145,SC,HARBOR FUMIGATION INC,2200 MINER ST,SAN PEDRO,90731,7342,LA,,,,,SOUTH COAST AQMD,,,16611
19,SC,184576,SC,"HEXPOL COMPOUNDING CA INC.,",491 WILSON WAY,CITY OF INDUSTRY,91744,3069,LA,,,,,SOUTH COAST AQMD,,,0.90774998
24,SJV,1275,SJU,HILMAR CHEESE COMPANY,9001 N LANDER AVE,HILMAR,95324,2022,MER,,,,,SAN JOAQUIN VALLEY APCD,,,0.022947224
