"CO","AB","FACID","DIS","FNAME","FSTREET","FCITY","FZIP","FSIC","COID","TS","HRA","CHINDEX","AHINDEX","DISN","CHAPIS","CERR_CODE","EMS","year","county","full_address","latitude","longitude"
"8","NC","724","NCU","ALL CREATURES HOSPITAL","1380 NORTHCREST DR","CRESCENT CITY","95531","742","DN","1.4",NA,NA,NA,"NORTH COAST UNIFIED AQMD",NA,"A","0.002408404","2016","DEL NORTE","1380 NORTHCREST DR, CRESCENT CITY, DEL NORTE, CA",41.7705363,-124.1995138
"56","SCC","845","VEN","ANACAPA BERRY FARMS","4300 ETTING RD.","OXNARD","93033","723","VEN",NA,NA,NA,NA,"VENTURA COUNTY APCD",NA,NA,"84","2016","VENTURA","4300 ETTING RD., OXNARD, VENTURA, CA",34.1617597,-119.1461202
"24","SJV","1166","SJU","ANDERSEN NUT COMPANY","3050 S HUNT RD","GUSTINE","95322","723","MER",NA,NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"1799.999952","2016","MERCED","3050 S HUNT RD, GUSTINE, MERCED, CA",37.2450245,-120.9939363
"12","NC","97","NCU","BLUE LAKE POWER","200 TAYLOR WAY","BLUE LAKE","95525","4911","HUM","6.57",NA,NA,NA,"NORTH COAST UNIFIED AQMD",NA,"A","0.006375","2016","HUMBOLDT","200 TAYLOR WAY, BLUE LAKE, HUMBOLDT, CA",40.878664,-123.994479
"10","SJV","3865","SJU","BOGHOSIAN RAISIN PACKING COMPANY, INC.","726 S 8TH ST","FOWLER","93625","723","FRE",NA,NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"0","2016","FRESNO","726 S 8TH ST, FOWLER, FRESNO, CA",36.6243185,-119.6762548
"36","MD","1400169","MOJ","CALMAT CO. DBA VULCAN MATERIALS COMPANY","20181 NATIONAL TRAILS HIGHWAY","ORO GRANDE","92368","2951","SBD","1.01",NA,NA,NA,"MOJAVE DESERT AQMD",NA,NA,"0.02522849","2016","SAN BERNARDINO","20181 NATIONAL TRAILS HIGHWAY, ORO GRANDE, SAN BERNARDINO, CA",34.5959326,-117.334549
"10","SJV","317","SJU","CHOOLJIAN BROS PACKING CO","3192 S INDIANOLA","SANGER","93657","723","FRE",NA,NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"3718.000047","2016","FRESNO","3192 S INDIANOLA, SANGER, FRESNO, CA",36.7213904,-119.5831314
"33","MD","74601569","MOJ","CITY OF BLYTHE - WASTE WATER TREATMENT","15901 SOUTH BROADWAY","BLYTHE","92225","4952","RIV",NA,NA,NA,NA,"MOJAVE DESERT AQMD",NA,"B","0.036529202","2016","RIVERSIDE","15901 SOUTH BROADWAY, BLYTHE, RIVERSIDE, CA",33.6048764,-114.5967154
"15","MD","532","KER","COMMODITY RESOURCE & ENVRNMTL","11847 UNITED STREET","MOJAVE","93501","3341","KER",NA,NA,NA,NA,"EASTERN KERN APCD",NA,NA,"0","2016","KERN","11847 UNITED STREET, MOJAVE, KERN, CA",34.9957974,-118.1499901
"39","SJV","2395","SJU","DELTA PACKING CO. OF LODI,INC.","6021 E KETTLEMAN LANE","LODI","95240","723","SJ",NA,NA,NA,NA,"SAN JOAQUIN VALLEY APCD",NA,NA,"4949.999809","2016","SAN JOAQUIN","6021 E KETTLEMAN LANE, LODI, SAN JOAQUIN, CA",38.1159094,-121.2424831
