CO,AB,FACID,DIS,FNAME,FSTREET,FCITY,FZIP,FSIC,COID,TS,HRA,CHINDEX,AHINDEX,DISN,CHAPIS,CERR_CODE,EMS
39,SJV,717,SJU,"A. SAMBADO & SON, INC.",16461 E COMSTOCK RD,LINDEN,95236,723,SJ,,,,,SAN JOAQUIN VALLEY APCD,,,5778.999821
34,SV,1,SAC,"AEROJET ROCKETDYNE, INC.",AEROJET ROAD & HWY 50,RANCHO CORDOVA,95852,3761,SAC,1264,1.49,0.01,0.63,SACRAMENTO METROPOLITAN AQMD,N,,0.00000174
8,NC,724,NCU,ALL CREATURES HOSPITAL,1380 NORTHCREST DR,CRESCENT CITY,95531,742,DN,1.4,,,,NORTH COAST UNIFIED AQMD,,A,0.002408404
56,SCC,845,VEN,ANACAPA BERRY FARMS,4300 ETTING RD.,OXNARD,93033,723,VEN,,,,,VENTURA COUNTY APCD,,,84
24,SJV,1166,SJU,ANDERSEN NUT COMPANY,3050 S HUNT RD,GUSTINE,95322,723,MER,,,,,SAN JOAQUIN VALLEY APCD,,,1799.999952
39,SJV,7250,SJU,AVANTI NUT COMPANY,9982 PEZZI LANE,STOCKTON,95215,723,SJ,,,,,SAN JOAQUIN VALLEY APCD,,,0
4,SV,111,BUT,BERBERIAN NUT COMPANY,6100 WILSON LANDING ROAD,CHICO,95973,2034,BUT,,,,,BUTTE COUNTY AQMD,,,1892
12,NC,97,NCU,BLUE LAKE POWER,200 TAYLOR WAY,BLUE LAKE,95525,4911,HUM,6.57,,,,NORTH COAST UNIFIED AQMD,,A,0.006375
10,SJV,3865,SJU,"BOGHOSIAN RAISIN PACKING COMPANY, INC.",726 S 8TH ST,FOWLER,93625,723,FRE,,,,,SAN JOAQUIN VALLEY APCD,,,0
11,SV,34,GLE,"BORGES OF CALIFORNIA, INC.",1424 HIGHWAY 45,GLENN,95943,723,GLE,0,,,,GLENN COUNTY APCD,,,1.286
36,MD,1400169,MOJ,CALMAT CO. DBA VULCAN MATERIALS COMPANY,20181 NATIONAL TRAILS HIGHWAY,ORO GRANDE,92368,2951,SBD,1.01,,,,MOJAVE DESERT AQMD,,,0.02522849
11,SV,1175,GLE,CARRIERE FAMILY FARMS (PROCESSING PLANT),1640 HWY 45,GLENN,95943,723,GLE,,,,,GLENN COUNTY APCD,,,3.39
39,SJV,3266,SJU,CHINCHIOLO STEMILT CALIFORNIA LLC,4799 N  JACK TONE RD,STOCKTON,95215,2099,SJ,,,,,SAN JOAQUIN VALLEY APCD,,,4905.000181
10,SJV,317,SJU,CHOOLJIAN BROS PACKING CO,3192 S INDIANOLA,SANGER,93657,723,FRE,,,,,SAN JOAQUIN VALLEY APCD,,,3718.000047
33,MD,74601569,MOJ,CITY OF BLYTHE - WASTE WATER TREATMENT,15901 SOUTH BROADWAY,BLYTHE,92225,4952,RIV,,,,,MOJAVE DESERT AQMD,,B,0.036529202
15,MD,532,KER,COMMODITY RESOURCE & ENVRNMTL,11847 UNITED STREET,MOJAVE,93501,3341,KER,,,,,EASTERN KERN APCD,,,0
39,SJV,2395,SJU,"DELTA PACKING CO. OF LODI,INC.",6021 E KETTLEMAN LANE,LODI,95240,723,SJ,,,,,SAN JOAQUIN VALLEY APCD,,,4949.999809
12,NC,96,NCU,DG FAIRHAVEN POWER COMPANY,97 BAY STREET,SAMOA,95564,4911,HUM,13.36,,,,NORTH COAST UNIFIED AQMD,,A,15.17562
39,SJV,285,SJU,"DIAMOND FOODS, LLC",1050 S DIAMOND ST,STOCKTON,95201,723,SJ,,,,,SAN JOAQUIN VALLEY APCD,,,699.9999881
56,SCC,507,VEN,DRISCOLL STRAWBERRY ASSOCIATES,3939 E HUENEME RD,OXNARD,93030,5148,VEN,,,,,VENTURA COUNTY APCD,,,510
1,SF,591,BA,EAST BAY MUNICIPAL UTILITY DISTRICT,2020 WAKE AVENUE,OAKLAND,94607,4952,ALA,,8,0.06,,BAY AREA AQMD,,,7.815155582
15,MD,47,KER,EDWARDS AIR FORCE BASE,120 N. ROSAMOND BLVD,EDWARDS AFB,93524,9711,KER,3.45,,,,EASTERN KERN APCD,,,0
20,SJV,8250,SJU,EL DORADO ALMONDS LLC,21888 AVENUE 14,MADERA,,723,MAD,,,,,SAN JOAQUIN VALLEY APCD,,,3000
39,SJV,239,SJU,FELIX COSTA,13160 N WEST LN,LODI,95240,723,SJ,,,,,SAN JOAQUIN VALLEY APCD,,,108.3500013
10,SJV,973,SJU,FIG GARDEN PACKING INC.,5545 W DAKOTA AVE,FRESNO,93722,723,FRE,,,,,SAN JOAQUIN VALLEY APCD,,,306.4999878
39,SJV,4752,SJU,FOPPIANO RANCH,500 N JACK TONE RD,STOCKTON,95215,2879,SJ,,,,,SAN JOAQUIN VALLEY APCD,,,10637.99977
36,MD,165702806,MOJ,FORT IRWIN WASTEWATER TREATMENT PLANT,714 5TH. STREET,FORT IRWIN,92310,9511,SBD,8.53,,,,MOJAVE DESERT AQMD,,,22.805
50,SJV,3838,SJU,"FRAZIER NUT FARMS, INC",10830 YOSEMITE BLVD,WATERFORD,95386,723,STA,,,,,SAN JOAQUIN VALLEY APCD,,,175.0000045
10,SJV,2870,SJU,GERAWAN FARMING INC,1467 E DINUBA AVE,REEDLEY,,723,FRE,,,,,SAN JOAQUIN VALLEY APCD,,,1325.000048
54,SJV,2959,SJU,GIUMARRA BROS FRUIT COMPANY,3646 AVENUE 416,REEDLEY,93654,723,TUL,,,,,SAN JOAQUIN VALLEY APCD,,,340.200007
