CO,AB,FACID,DIS,FNAME,FSTREET,FCITY,FZIP,FSIC,COID,TS,HRA,CHINDEX,AHINDEX,DISN,CHAPIS,CERR_CODE,EMS
39,SJV,717,SJU,"A. SAMBADO & SON, INC.",16461 E COMSTOCK RD,LINDEN,95236,723,SJ,4.81,,,,SAN JOAQUIN VALLEY APCD,,,4045.999855
34,SV,192,SAC,A. TEICHERT & SON,8760 KIEFER BLVD,SACRAMENTO,95826,2951,SAC,82.9,1.53,0.04,0.34,SACRAMENTO METROPOLITAN AQMD,N,,0.216459485
19,SC,106897,SC,AG-FUME SERVICES INC,2200  MINER ST,SAN PEDRO,90731,7342,LA,,,,,SOUTH COAST AQMD,,,19888
19,SC,148236,SC,"AIR LIQUIDE LARGE INDUSTRIES U.S., LP",324 W EL SEGUNDO BLVD,EL SEGUNDO,90245,8099,LA,,,,,SOUTH COAST AQMD,,,3.0188033
30,SC,5998,SC,ALL AMERICAN ASPHALT,14490  EDWARDS ST,WESTMINSTER,92683,1611,ORA,,,,,SOUTH COAST AQMD,,,0.11534162
19,SC,114264,SC,ALL AMERICAN ASPHALT,13646  LIVE OAK LN,IRWINDALE,91706,1611,LA,,,,,SOUTH COAST AQMD,,,0.54659399
19,SC,132954,SC,ALL AMERICAN ASPHALT,11549  BRADLEY AVE,SAN FERNANDO,91340,1771,LA,,,,,SOUTH COAST AQMD,,,0.5591361
33,SC,148146,SC,ALL AMERICAN ASPHALT,4770  INDIAN ST,PERRIS,92571,1611,RIV,,,,,SOUTH COAST AQMD,,,0.55539949
33,SC,3704,SC,"ALL AMERICAN ASPHALT, UNIT NO.01",1776  ALL AMERICAN WAY,CORONA,92879,1611,RIV,,,,,SOUTH COAST AQMD,,,1.39875725
30,SC,82207,SC,"ALL AMERICAN ASPHALT,ALL AMER AGGREGATES",10671  JEFFREY RD,IRVINE,92602,1771,ORA,,,,,SOUTH COAST AQMD,,,0.725891
39,SJV,19,SJU,ALPINE MEATS INC,9900 LOWER SACRAMENTO RD,STOCKTON,95210,2011,SJ,,,,,SAN JOAQUIN VALLEY APCD,,,0.00252
50,SJV,8521,SJU,ALPINE PACIFIC NUT COMPANY INC,6413 E KEYES RD,HUGHSON,95326,723,STA,0.72,,,,SAN JOAQUIN VALLEY APCD,,,41.99999943
39,SJV,8247,SJU,AMERESCO SAN JOAQUIN LLC,6484 N WAVERLY RD,LINDEN,95236,4911,SJ,,,,,SAN JOAQUIN VALLEY APCD,,,0.003866749
